house_title,resblock_name,bizcircle_name,district_name,layout,rent_area,rent_price_listing,frame_orientation,m_url
整租·承翰半山海 2室2厅 复式 南/北,承翰半山海,大鹏半岛,大鹏新区,2室2厅1卫,77.30,3100,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2897986854748438528.html
整租·承翰半山海 1室1厅 西北,承翰半山海,大鹏半岛,大鹏新区,1室1厅1卫,36.34,2000,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2848414700369084416.html
整租·PURE33璞岸 3室2厅 南/北,PURE33璞岸,大鹏半岛,大鹏新区,3室2厅2卫,88.30,4550,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2796971489323122688.html
整租·承翰半山海 3室2厅 南/北,承翰半山海,大鹏半岛,大鹏新区,3室2厅1卫,86.20,3300,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2820937253718081536.html
整租·承翰半山海 1室1厅 东南,承翰半山海,大鹏半岛,大鹏新区,1室1厅1卫,37.00,2000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2818244717396107264.html
整租·承翰陶柏莉 5室3厅 南,承翰陶柏莉,大鹏半岛,大鹏新区,5室3厅4卫,193.08,15000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2815276271259353088.html
整租·承翰半山海 1室1厅 东南,承翰半山海,大鹏半岛,大鹏新区,1室1厅1卫,37.00,2000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2820876643592585216.html
整租·金众云山栖 5室2厅 复式 南,金众云山栖,大鹏半岛,大鹏新区,5室2厅3卫,190.95,12000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2750708891821555712.html
整租·东丽观海山庄 8室2厅 复式 东南,东丽观海山庄,大鹏半岛,大鹏新区,8室2厅5卫,302.12,18000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2704163339189362688.html
整租·花样年家天下 3室2厅 东南,花样年家天下,大鹏半岛,大鹏新区,3室2厅2卫,103.50,5500,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2678205663603335168.html
整租·金众云山栖 3室2厅 南,金众云山栖,大鹏半岛,大鹏新区,3室2厅2卫,87.63,3600,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2770278804063518720.html
整租·PURE33璞岸 3室2厅 东南,PURE33璞岸,大鹏半岛,大鹏新区,3室2厅2卫,83.26,4000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2746156348717662208.html
整租·承翰陶柏莉 2室2厅 西南,承翰陶柏莉,大鹏半岛,大鹏新区,2室2厅2卫,72.70,3200,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2770965828785676288.html
整租·金众云山栖 4室2厅 南/北,金众云山栖,大鹏半岛,大鹏新区,4室2厅2卫,87.32,3500,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2765214004422393856.html
整租·金众云山栖 3室1厅 南,金众云山栖,大鹏半岛,大鹏新区,3室1厅2卫,87.14,3200,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2767625171489013760.html
整租·KPR佳兆业广场 3室2厅 南,KPR佳兆业广场,大鹏半岛,大鹏新区,3室2厅1卫,79.18,5800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2777682356004732928.html
整租·花样年家天下 3室2厅 西南,花样年家天下,大鹏半岛,大鹏新区,3室2厅2卫,103.00,5000,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2772334261083045888.html
整租·KPR佳兆业广场 2室2厅 南,KPR佳兆业广场,大鹏半岛,大鹏新区,2室2厅1卫,68.00,3900,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2778138824566915072.html
整租·华侨海景山庄 5室2厅 东南,华侨海景山庄,大鹏半岛,大鹏新区,5室2厅2卫,215.00,16000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2745767770997669888.html
整租·PURE33璞岸 3室2厅 南,PURE33璞岸,大鹏半岛,大鹏新区,3室2厅2卫,87.00,4500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2771591531743166464.html
整租·承翰半山海 3室2厅 南,承翰半山海,大鹏半岛,大鹏新区,3室2厅2卫,79.00,5000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2777502361223446528.html
